brand,carName,carImg,saleVolume,price,manufacturer,rank,carModel,energyType,marketTime,insure

比亚迪,海鸥,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/e33ad9ed8d9749a28fed202afadcd900~tplv-resize:640:0.png,56156,"[6.98, 8.58]",比亚迪,1,小型车,纯电动,2024.08,6年或15万公里
特斯拉,Model Y,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/60b8a92b0b304e60a4d0e8bc2f4f2272~tplv-resize:640:0.png,44576,"[24.99, 35.49]",特斯拉中国,2,中型SUV,纯电动,2024.02,4年或8万公里
五菱汽车,五菱宏光MINIEV,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/287e133f10e1402386d901c399885fbf~tplv-resize:640:0.png,34777,"[3.28, 9.99]",上汽通用五菱,3,微型车,纯电动,2024.08,3年或12万公里
比亚迪,秦L DM,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/5e4b9f17cfaf457cadcbbcec5a0736b8~tplv-resize:640:0.png,33948,"[9.68, 13.68]",比亚迪,4,中型车,插电式混合动力,2024.05,6年或15万公里
日产,轩逸,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/ecc4bc88c3f146dca8180b4932f217b7~tplv-resize:640:0.png,32977,"[7.26, 13.99]",东风日产,5,紧凑型车,汽油,2024.10,3年或10万公里
大众,朗逸,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/ac798c1f36aa4d3fa143506e3a050852~tplv-resize:640:0.png,32125,"[7.4, 11.89]",上汽大众,6,紧凑型车,汽油,2024.10,3年或10万公里
比亚迪,海豹06,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/e65fdc8293d04063bc07ed05198a2c83~tplv-resize:640:0.png,29465,"[9.68, 13.68]",比亚迪,7,中型车,插电式混合动力,2024.05,6年或15万公里
特斯拉,Model 3,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/0824d2c3a2fc4de0a84e86eaa93a5745~tplv-resize:640:0.png,28914,"[23.19, 33.59]",特斯拉中国,8,中型车,纯电动,2024.04,4年或8万公里
五菱汽车,五菱缤果,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/8a82589d0fbf4119a29b97b77dc96d62~tplv-resize:640:0.png,26808,"[5.68, 8.88]",上汽通用五菱,9,小型车,纯电动,2024.06,3年或10万公里
比亚迪,元PLUS,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/0a5a6f5f1e4e417f823a51d894fa7345~tplv-resize:640:0.png,26400,"[11.68, 14.48]",比亚迪,10,紧凑型SUV,纯电动,2024.03,6年或15万公里
比亚迪,秦PLUS DM,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/b16feb96960c4b178686faea93e71f3c~tplv-resize:640:0.png,24869,"[7.68, 12.58]",比亚迪,11,紧凑型车,插电式混合动力,2024.02,6年或15万公里
吉利汽车,星越L,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/29f9c5cbc4954233a41d36cad31dc4a5~tplv-resize:640:0.png,24667,"[12.22, 17.02]",吉利汽车,12,紧凑型SUV,汽油,2024.10,4年或10万公里
理想汽车,理想L6,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/70084ec6188c457d81e000f310d9af9b~tplv-resize:640:0.png,24318,"[24.98, 27.98]",理想汽车,13,中大型SUV,增程式,2024.04,5年或10万公里
大众,帕萨特,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/b4285df0389c47399c7f0fa8d52a8334~tplv-resize:640:0.png,23300,"[14.79, 22.39]",上汽大众,14,中型车,汽油,2024.09,3年或10万公里
比亚迪,宋L DM,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/6dfaee65baf84590a77bc404502b8332~tplv-resize:640:0.png,23230,"[13.28, 17.28]",比亚迪,15,中型SUV,插电式混合动力,2024.07,6年或15万公里
小米汽车,小米SU7,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/7a507b6ec14c4ead9c95c336893aa9d2~tplv-resize:640:0.png,23156,"[21.59, 29.99]",小米汽车,16,中大型车,纯电动,2024.03,5年或10万公里
长安,长安CS75 PLUS,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/ca979536da2c4cadb64281d0f33886d0~tplv-resize:640:0.png,22942,"[9.99, 13.99]",长安汽车,17,紧凑型SUV,汽油,2024.09,3年或10万公里
比亚迪,宋PLUS DM,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/f8cbeac5dfe64f538702a05236429100~tplv-resize:640:0.png,22601,"[13.28, 17.28]",比亚迪,18,紧凑型SUV,插电式混合动力,2024.07,6年或15万公里
大众,速腾,https://p3-dcd.byteimg.com/img/motor-mis-img/44c013067df2032cc03b6031eb68bf05~tplv-resize:640:0.png,21767,"[8.29, 12.79]",一汽-大众,19,紧凑型车,汽油,2024.10,3年或10万公里
奇瑞,瑞虎8,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/d021bb41298c4273b67003fdef0e146b~tplv-resize:640:0.png,21556,"[8.99, 15.99]",奇瑞汽车,20,中型SUV,汽油,2024.09,3年或10万公里
比亚迪,元UP,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/eca155ce5f884c349d4d541e5b9e7277~tplv-resize:640:0.png,21391,"[9.38, 11.98]",比亚迪,21,小型SUV,纯电动,2024.03,6年或15万公里
丰田,RAV4荣放,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/aaf3143e1177415eb37359b9df0ca35d~tplv-resize:640:0.png,20655,"[12.98, 21.88]",一汽丰田,22,紧凑型SUV,汽油,2024.09,3年或10万公里
比亚迪,宋Pro DM,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/d4206d61f79e47bc81a222040fae2b35~tplv-resize:640:0.png,20613,"[9.68, 13.28]",比亚迪,23,紧凑型SUV,插电式混合动力,2024.09,6年或15万公里
比亚迪,汉DM,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/8f0fb2e258644f6fb0f1871d84c3b7d7~tplv-resize:640:0.png,20183,"[16.58, 22.58]",比亚迪,24,中大型车,插电式混合动力,2024.09,6年或15万公里
大众,途观L,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/fae84b4c399e4a4294a7eca0fec5be6c~tplv-resize:640:0.png,20167,"[13.99, 24.68]",上汽大众,25,中型SUV,汽油,2024.05,3年或10万公里
吉利汽车,星愿,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/e8e75fa565924a5e8a3a7951b1ad299d~tplv-resize:640:0.png,20038,"[6.98, 9.88]",吉利汽车,26,小型车,纯电动,2024.10,6年或15万公里
丰田,卡罗拉锐放,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/4ab0b25b4ae84f7f9105c3d4603cd099~tplv-resize:640:0.png,19700,"[9.48, 14.98]",一汽丰田,27,紧凑型SUV,汽油,2024.06,3年或10万公里
比亚迪,驱逐舰05,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/fdd396bacd4e433699c66a8dc73db8db~tplv-resize:640:0.png,19219,"[7.68, 12.58]",比亚迪,28,紧凑型车,插电式混合动力,2024.02,6年或15万公里
吉利汽车,熊猫,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/4ca80c7564204d0c9857e396ea3b014d~tplv-resize:640:0.png,19027,"[2.99, 5.19]",吉利汽车,29,微型车,纯电动,2024.11,3年或12万公里
吉利银河,银河E5,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/7dfb9003d5cd4fac8050640893630cc1~tplv-resize:640:0.png,18962,"[10.98, 14.58]",吉利银河,30,紧凑型SUV,纯电动,2024.08,6年或15万公里
大众,迈腾,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/af209a0bc7a548a89dc86b1062cac9c7~tplv-resize:640:0.png,18805,"[12.69, 22.69]",一汽-大众,31,中型车,汽油,2024.10,3年或10万公里
本田,本田CR-V,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/bd6973e0052d487ba57c120cf80be1c1~tplv-resize:640:0.png,17752,"[13.09, 20.89]",东风本田,32,紧凑型SUV,油电混合,2024.04,3年或10万公里
比亚迪,宋PLUS EV,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/c0bfd8c745184d3ca2f7ca905e564a50~tplv-resize:640:0.png,17664,"[14.98, 18.98]",比亚迪,33,紧凑型SUV,纯电动,2024.08,6年或15万公里
大众,探岳,https://p3-dcd.byteimg.com/img/motor-mis-img/fa07dcebd6da68142bf78b8afc536956~tplv-resize:640:0.png,16925,"[14.99, 20.49]",一汽-大众,34,中型SUV,汽油,2023.10,3年或10万公里
丰田,凯美瑞,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/c9f5aa2789ee431883f912465dad6047~tplv-resize:640:0.png,16798,"[14.58, 23.38]",广汽丰田,35,中型车,油电混合,2024.12,3年或10万公里
比亚迪,海豚,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/800648cb11eb4b169922d604921efe16~tplv-resize:640:0.png,16680,"[9.98, 12.98]",比亚迪,36,小型车,纯电动,2024.07,6年或15万公里
长安,长安Lumin,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/ce6c0eedd9c6421c94ef984285239d44~tplv-resize:640:0.png,16605,"[3.39, 6.19]",长安汽车,37,微型车,纯电动,2024.09,3年或12万公里
丰田,锋兰达,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/2e716928f981407b80c5e8772b8141a2~tplv-resize:640:0.png,16533,"[9.58, 15.28]",广汽丰田,38,紧凑型SUV,汽油,2024.07,3年或10万公里
吉利汽车,星瑞,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/4fc66389c5644e648c5093b476ccd036~tplv-resize:640:0.png,16468,"[9.97, 13.57]",吉利汽车,39,紧凑型车,汽油,2024.10,4年或10万公里
红旗,红旗H5,https://p3-dcd.byteimg.com/img/motor-mis-img/4e5a38bacf99a7c63567e63f3bde1216~tplv-resize:640:0.png,16431,"[11.98, 18.58]",一汽红旗,40,中型车,汽油,2024.09,4年或10万公里
AITO,问界M9,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/0cc67d2d9cdb477a86b93427af6c6670~tplv-resize:640:0.png,16409,"[46.98, 56.98]",赛力斯汽车,41,大型SUV,增程式,2024.09,4年或10万公里
长安,逸动,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/539de6103bab4d678713a55c06cb9dce~tplv-resize:640:0.png,16403,"[6.99, 7.99]",长安汽车,42,紧凑型车,汽油,2024.03,3年或10万公里
大众,途岳,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/c33c6674860948149e5d808e05ae222d~tplv-resize:640:0.png,16167,"[7.99, 17.79]",上汽大众,43,紧凑型SUV,汽油,2024.08,3年或10万公里
奥迪,奥迪A6L,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/9bae5a357d244e0fbef2d9d35d1dad81~tplv-resize:640:0.png,16036,"[28.2, 45.9]",一汽奥迪,44,中大型车,汽油,2024.11,3年或10万公里
哈弗,哈弗大狗,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/99d2cc4666d54e5487bbda4ac6efe2f2~tplv-resize:640:0.png,15376,"[9.89, 12.49]",长城汽车,45,紧凑型SUV,汽油,2023.07,3年或10万公里
本田,雅阁,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/dadb17a173de491480541d39301b347e~tplv-resize:640:0.png,15354,"[12.98, 18.88]",广汽本田,46,中型车,汽油,2024.09,3年或10万公里
比亚迪,唐DM,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/955495dcdd864247962e781d5633f15c~tplv-resize:640:0.png,15322,"[17.98, 26.98]",比亚迪,47,中型SUV,插电式混合动力,2024.10,6年或15万公里
奥迪,奥迪Q5L,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/67161a339e5c4639bdcfc59d4b67efc9~tplv-resize:640:0.png,14788,"[26.2, 32.2]",一汽奥迪,48,中型SUV,汽油,2024.11,3年或10万公里
奔驰,奔驰E级,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/9b08b1c3602645d7ad7574aeb71b6ce3~tplv-resize:640:0.png,14126,"[44.72, 59.98]",北京奔驰,49,中大型车,48V轻混系统,2024.09,3年不限公里
奔驰,奔驰GLC,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/e8b4e398af9d4c8ea7656766509bc7d2~tplv-resize:640:0.png,14001,"[42.78, 53.13]",北京奔驰,50,中型SUV,48V轻混系统,2024.11,3年不限公里
奔腾,奔腾小马,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/2c3f3931dac84fc0800e756d85892b7f~tplv-resize:640:0.png,13890,"[2.49, 3.99]",一汽奔腾,51,微型车,纯电动,2024.08,3年或10万公里
奇瑞,艾瑞泽8,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/d8d9de3901d34378b2fd87287e07b7fa~tplv-resize:640:0.png,13564,"[8.49, 13.09]",奇瑞汽车,52,紧凑型车,汽油,2024.03,3年或10万公里
AITO,问界M7,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/887713ee6ba84da6b8962888260c914f~tplv-resize:640:0.png,13415,"[24.98, 32.98]",赛力斯汽车,53,中大型SUV,增程式,2024.08,4年或10万公里
别克,昂科威,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/f10147fd60e9445da78a7593c455a4be~tplv-resize:640:0.png,13331,"[15.89, 19.99]",上汽通用别克,54,中型SUV,汽油,2024.11,3年或10万公里
本田,皓影,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/9886d3b902964d73a5284eeee4f1cfa8~tplv-resize:640:0.png,13266,"[13.79, 23.39]",广汽本田,55,紧凑型SUV,汽油,2024.10,3年或10万公里
奔驰,奔驰C级,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/e8abf034d5504085a9850c7b7632b065~tplv-resize:640:0.png,13200,"[33.48, 38.06]",北京奔驰,56,中型车,48V轻混系统,2024.09,3年不限公里
丰田,亚洲龙,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/b47ec0be1ba940aa8e02b93784b6949e~tplv-resize:640:0.png,13160,"[14.68, 22.48]",一汽丰田,57,中型车,汽油,2024.07,3年或10万公里
吉利汽车,博越L,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/2feaeea512f442a18ea5a8194a26c29d~tplv-resize:640:0.png,13152,"[10.37, 14.27]",吉利汽车,58,紧凑型SUV,汽油,2024.05,4年或10万公里
捷途,捷途X70,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/64b7afd43bc94a05bb198142d138fb63~tplv-resize:640:0.png,13096,"[7.79, 13.99]",奇瑞汽车,59,中型SUV,汽油,2024.04,4年或10万公里
哈弗,哈弗H6,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/62328473441241d98a6a623ffe67178f~tplv-resize:640:0.png,13031,"[7.89, 12.99]",长城汽车,60,紧凑型SUV,汽油,2024.06,3年或10万公里
宝马,宝马3系,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/9097ff26559a4e3a9f86cf4ed6f7396c~tplv-resize:640:0.png,12060,"[21.99, 29.99]",华晨宝马,61,中型车,汽油,2024.09,3年或10万公里
吉利汽车,帝豪,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/433e961ce3e34561990947ae598fccad~tplv-resize:640:0.png,12052,"[5.09, 14.98]",吉利汽车,62,紧凑型车,汽油,2024.07,4年或15万公里
深蓝汽车,深蓝S07,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/e3a99ed421fb474eb8e921c3253ab494~tplv-resize:640:0.png,12021,"[13.49, 19.29]",深蓝汽车,63,中型SUV,增程式,2024.07,3年或12万公里
小鹏汽车,小鹏MONA M03,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/c09268085ead46d5bf15eb93c3d00ee3~tplv-resize:640:0.png,11960,"[11.98, 15.58]",小鹏汽车,64,紧凑型车,纯电动,2024.08,5年或12万公里
比亚迪,秦PLUS EV,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/f2c7ac4f763b45f99d6492adc2ee9f39~tplv-resize:640:0.png,11918,"[9.98, 15.68]",比亚迪,65,紧凑型车,纯电动,2024.02,6年或15万公里
丰田,威兰达,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/c539eb59ce934d638989747a69f7aced~tplv-resize:640:0.png,11845,"[13.38, 22.48]",广汽丰田,66,紧凑型SUV,汽油,2024.05,3年或10万公里
丰田,卡罗拉,https://p9-dcd.byteimg.com/img/motor-mis-img/b2fb8f96191b30a2992fc05fb5af0a4c~tplv-resize:640:0.png,11825,"[7.68, 11.58]",一汽丰田,67,紧凑型车,汽油,2024.07,3年或10万公里
埃安,AION Y,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/34b2c834bad64064a957ee05ada73016~tplv-resize:640:0.png,11600,"[9.68, 13.28]",广汽埃安新能源,68,紧凑型SUV,纯电动,2024.12,4年或15万公里
零跑汽车,零跑C11,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/2c5aa014fea141568f6df9bf6a486db0~tplv-resize:640:0.png,11260,"[14.88, 20.58]",零跑汽车,69,中型SUV,增程式,2024.03,4年或12万公里
极氪,ZEEKR 7X,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/43587659f5b647bab7efa6acc32aea01~tplv-resize:640:0.png,11112,"[22.99, 26.99]",极氪,70,中型SUV,纯电动,2024.09,4年或10万公里
智界,智界R7,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/2b91fd7067b84e36933e34e6bafa72f9~tplv-resize:640:0.png,11086,"[24.98, 33.98]",奇瑞汽车,71,中大型SUV,纯电动,2024.09,4年或10万公里
理想汽车,理想L7,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/50a2e8c06c3948b788e72671652d5286~tplv-resize:640:0.png,11067,"[30.18, 35.98]",理想汽车,72,中大型SUV,增程式,2024.03,5年或10万公里
宝马,宝马X3,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/bd415b560a0c436cb26bca2599e196b8~tplv-resize:640:0.png,11039,"[27.46, 34.69]",华晨宝马,73,中型SUV,汽油,2023.02,3年或10万公里
哈弗,哈弗猛龙,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/a9dc9e5ea72d414cb832108cf2404eef~tplv-resize:640:0.png,11012,"[15.98, 18.88]",长城汽车,74,紧凑型SUV,插电式混合动力,2024.04,6年或15万公里
捷途,捷途旅行者,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/a4c5373170314e3e93ccc6dae5b7963d~tplv-resize:640:0.png,10682,"[13.99, 23.99]",奇瑞汽车,75,紧凑型SUV,汽油,2024.01,4年或10万公里
大众,大众ID.3,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/67741e8ef35d455585141ee25b007919~tplv-resize:640:0.png,10572,"[11.39, 13.69]",上汽大众,76,紧凑型车,纯电动,2024.07,3年或10万公里
本田,思域,https://p3-dcd.byteimg.com/img/motor-mis-img/af835d978de92b8342d900c8473c8d88~tplv-resize:640:0.png,10535,"[7.99, 13.79]",东风本田,77,紧凑型车,汽油,2022.12,3年或10万公里
埃安,AION S,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/1d2ff61ba872435f9804f63b2c0efd28~tplv-resize:640:0.png,10428,"[11.48, 15.49]",广汽埃安新能源,78,紧凑型车,纯电动,2024.07,4年或15万公里
日产,逍客,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/e24a2e21518e43d98622ed8452ad809a~tplv-resize:640:0.png,10207,"[9.69, 16.49]",东风日产,79,紧凑型SUV,汽油,2024.10,3年或10万公里
丰田,格瑞维亚,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/3e60d7bce33a4620a32d09e378963b16~tplv-resize:640:0.png,10035,"[26.98, 38.68]",一汽丰田,80,中大型MPV,油电混合,2024.04,3年或10万公里
领克,领克08 EM-P,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/dbc3deec00ed4cf2b29fefc9cc05617b~tplv-resize:640:0.png,10005,"[17.58, 23.68]",领克,81,中型SUV,插电式混合动力,2024.08,5年或10万公里
宝马,宝马5系,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/e85fab8db1b346578e344ab528cbeaa2~tplv-resize:640:0.png,9617,"[30.99, 38.59]",华晨宝马,82,中大型车,48V轻混系统,2024.12,3年或10万公里
五菱汽车,五菱宏光,https://p3-dcd.byteimg.com/img/motor-mis-img/5e5eb3f0b2e232525d8d7f1d44fa55fb~tplv-resize:640:0.png,9420,"[4.65, 6.09]",上汽通用五菱,83,微面,汽油,2022.07,3年或10万公里
丰田,赛那,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/0c4126f4e19f4486ab824f4c0abb7a95~tplv-resize:640:0.png,8543,"[27.78, 38.88]",广汽丰田,91,中大型MPV,油电混合,2024.04,3年或10万公里
阿维塔,阿维塔 07,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/8b7d620a07494ec4a54bbd467b1aa2da~tplv-resize:640:0.png,8398,"[21.99, 28.99]",阿维塔科技,92,中型SUV,增程式,2024.09,5年或12万公里
宝马,宝马X5,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/bf84f7f297c74b4ab69467bef101e7e1~tplv-resize:640:0.png,8378,"[50.5, 73]",华晨宝马,93,中大型SUV,48V轻混系统,2024.10,3年或10万公里
广汽传祺,传祺GS3,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/9bd75ad6814541c1a3692ae64670405d~tplv-resize:640:0.png,8312,"[6.88, 9.48]",广汽传祺,94,小型SUV,汽油,2024.08,3年或10万公里
比亚迪,汉EV,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/493e0427e3c64f15b5bc539dd54ff0a7~tplv-resize:640:0.png,8250,"[17.98, 24.98]",比亚迪,95,中大型车,纯电动,2024.09,6年或15万公里
零跑汽车,零跑T03,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/464986d3ad5845e9aac85a6960479de0~tplv-resize:640:0.png,8239,"[4.99, 6.99]",零跑汽车,96,微型车,纯电动,2024.03,3年或12万公里
零跑汽车,零跑C16,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/a2008aca31f649d7b646f0aecfbdbd5c~tplv-resize:640:0.png,7945,"[15.58, 18.58]",零跑汽车,97,中大型SUV,增程式,2024.06,4年或12万公里
大众,宝来,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/6569140387014329aaee5c92ae4a3fa1~tplv-resize:640:0.png,7722,"[6.79, 9.89]",一汽-大众,98,紧凑型车,汽油,2024.10,3年或10万公里
岚图,岚图梦想家 PHEV,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/ebd3d86cc65e43119464253282249cd3~tplv-resize:640:0.png,7498,"[32.99, 63.99]",岚图汽车,99,中大型MPV,插电式混合动力,2024.09,5年或10万公里
埃安,AION RT,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/8821c3282a0347f6a6dc286a45fbfd5c~tplv-resize:640:0.png,7319,"[11.98, 16.58]",广汽埃安新能源,100,紧凑型车,纯电动,2024.11,4年或15万公里
吉利银河,银河L7,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/f10ed13fe0594fda9a42cee9eebd18c1~tplv-resize:640:0.png,7184,"[11.07, 15.47]",吉利银河,101,紧凑型SUV,插电式混合动力,2024.03,4年或10万公里
丰田,汉兰达,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/cb4f406c854649ae8c43be834e102803~tplv-resize:640:0.png,7126,"[21.88, 31.78]",广汽丰田,102,中型SUV,油电混合,2024.05,3年或10万公里
深蓝汽车,深蓝S05,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/1c1924725eb54ad986ed0d1b8ed929fe~tplv-resize:640:0.png,7097,"[11.49, 14.49]",深蓝汽车,103,紧凑型SUV,纯电动,2024.10,3年或12万公里
